,id,price,beds,baths,sqft,address,postal_code,state,city
0,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
1,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
2,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
3,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
4,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
5,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
6,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
7,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
8,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
9,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
10,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
11,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
12,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
13,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
14,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
15,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
16,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
17,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
18,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
19,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
20,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
21,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
22,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
23,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
24,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
25,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
26,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
27,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
28,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
29,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
30,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
31,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
32,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
33,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
34,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
35,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
36,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
37,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
38,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
39,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
40,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
41,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
42,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
43,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
44,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
45,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
46,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
47,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
48,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
49,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
50,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
51,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
52,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
53,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
54,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
55,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
56,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
57,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
58,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
59,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
60,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
61,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
62,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
63,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
64,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
65,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
66,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
67,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
68,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
69,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
70,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
71,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
72,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
73,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
74,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
75,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
76,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
77,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
78,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
79,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
80,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
81,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
82,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
83,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
84,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
85,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
86,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
87,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
88,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
89,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
90,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
91,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
92,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
93,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
94,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
95,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
96,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
97,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
98,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
99,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
100,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
101,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
102,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
103,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
104,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
105,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
106,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
107,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
108,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
109,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
110,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
111,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
112,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
113,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
114,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
115,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
116,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
117,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
118,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
119,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
120,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
121,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
122,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
123,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
124,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
125,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
126,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
127,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
128,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
129,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
130,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
131,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
132,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
133,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
134,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
135,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
136,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
137,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
138,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
139,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
140,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
141,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
142,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
143,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
144,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
145,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
146,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
147,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
148,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
149,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
150,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
151,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
152,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
153,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
154,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
155,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
156,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
157,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
158,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
159,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
160,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
161,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
162,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
163,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
164,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
165,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
166,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
167,3781242032,349900,3,2,1344.0,55 Macarthur Ave,11717,NY,Brentwood
168,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
169,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
170,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
171,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
172,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
173,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
174,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
175,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
176,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
177,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
178,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
179,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
180,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
181,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
182,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
183,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
184,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
185,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
186,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
